Language,Size,Run,Time,Memory,CPU
Python,128,1,0.4468,28.58,0.4375
Python,128,2,0.7161,28.72,0.5312
Python,128,3,0.3851,28.72,0.3594
Python,128,4,0.2693,28.72,0.2656
Python,128,5,0.3064,28.72,0.3125
Python,256,1,3.4500,33.50,3.2344
Python,256,2,3.3073,34.93,3.1875
Python,256,3,2.6121,34.91,2.5625
Python,256,4,4.9876,34.92,4.7344
Python,256,5,3.7288,34.93,3.6094
Python,512,1,43.8280,52.27,42.3750
Python,512,2,41.9425,55.42,40.8125
Python,512,3,44.2485,56.24,42.8906
Python,512,4,36.7185,56.27,36.0312
Python,512,5,37.1541,57.79,36.1094
Java,128,1,0.0080,0.38,0.0083
Java,128,2,0.0020,0.38,0.0017
Java,128,3,0.0030,0.38,0.0021
Java,128,4,0.0030,0.38,0.0031
Java,128,5,0.0020,0.38,0.0020
Java,256,1,0.0180,1.50,0.0184
Java,256,2,0.0220,1.50,0.0227
Java,256,3,0.0200,1.50,0.0198
Java,256,4,0.0200,1.50,0.0198
Java,256,5,0.0200,1.50,0.0204
Java,512,1,0.1800,6.00,0.1795
Java,512,2,0.1880,6.00,0.1879
Java,512,3,0.1900,6.00,0.1902
Java,512,4,0.1730,6.00,0.1726
Java,512,5,0.1890,6.00,0.1889
C,128,1,0.0250,0.38,0.0250
C,128,2,0.0200,0.38,0.0200
C,128,3,0.0260,0.38,0.0260
C,128,4,0.0230,0.38,0.0230
C,128,5,0.0190,0.38,0.0190
C,256,1,0.1510,1.50,0.1510
C,256,2,0.1200,1.50,0.1200
C,256,3,0.1500,1.50,0.1500
C,256,4,0.1120,1.50,0.1120
C,256,5,0.1210,1.50,0.1210
C,512,1,1.1470,6.00,1.1470
C,512,2,1.0900,6.00,1.0900
C,512,3,1.2980,6.00,1.2980
C,512,4,1.4960,6.00,1.4960
C,512,5,1.1950,6.00,1.1950
